MABC,MANV,TENBC,NGAYLAP,NOIDUNG
BC1,8345,Báo Cáo phản hồi khách hàng,2023-10-12,NULL
BC2,8229,Báo cáo tuyển thêm nhân viên,2023-5-25,NULL
BC3,8568,Báo cáo phân tích cạnh tranh,2023-9-28,NULL
BC4,8630,Báo cáo chất lượng thức ăn,2023-4-27,NULL
BC5,8540,Báo cáo thực đơn,2022-10-19,NULL
BC6,8399,Báo cáo thói quen khách hàng,2023-3-17,NULL
BC7,8104,Báo cáo rủi ro,2023-1-20,NULL
BC8,8324,Báo cáo cơ hội,2023-1-22,NULL
BC9,8447,Báo cáo quảng cáo,2022-12-12,NULL
BC10,8534,Báo cáo tiếp thị,2022-8-20,NULL
BC11,8428,Báo cáo nhu cầu khách hàng,2022-11-18,NULL
BC12,8165,Báo cáo chiến lược,2023-12-22,NULL
BC13,8048,Báo cáo giá cả,2023-6-7,NULL
BC14,8598,Báo cáo hoạt động hành ngày,2023-2-9,NULL
BC15,8248,Báo cáo hoạt động hàng tháng,2023-2-23,NULL
BC16,8397,Báo cáo hoạt động hàng năm,2022-4-10,NULL
BC17,8280,Báo cáo doanh thu quý,2023-1-14,NULL
BC18,8623,Báo cáo phát triển trong tương lai,2023-9-8,NULL
BC19,8351,Báo cáo hiệu suất kinh doanh,2022-10-11,NULL
