MANCC,TENCC,SODT,EMAIL,DIACHI
C1,Illy,0917270147,Illy@gmail.com,Quận 2
C2,NestleProfessional,0963720796,NestleProfessional@gmail.com,Quận 3
C3,Monin,0913146955,Monin@gmail.com,Quận 4
C4,Bunn-O-MaticCorporation,0967783048,Bunn-O-MaticCorporation@gmail.com,Quận 5
C5,KeepCup,0963777348,KeepCup@gmail.com,Quận 6
C6,Bridor,0917122145,Bridor@gmail.com,Quận 7
C7,LappertsIceCream,0970925398,LappertsIceCream@gmail.com,Quận 8
C8,IKEA,0947322824,IKEA@gmail.com,Quận 9
C9,Hario,0973415604,Hario@gmail.com,Quận 10
C10,Vinamik,0953163671,Vinamik@gmail.com,Quận 12
C11,NitriFood,0948671283,NitriFood@gmail.com,Quận Gò Vấp
C12,Nestlé,0974405183,Nestlé@gmail.com,Quận Phú Nhuận
C13,C&HSugar,0952460680,C&HSugar@gmail.com,Quận Tân Bình
C14,Bunn,0912415797,Bunn@gmail.com,TP Thủ Đức
C15,Sysco,0915686174,Sysco@gmail.com,Huyện Bình Chánh
C16,Baker'sPride,0940228360,Baker'sPride@gmail.com,Huyện Hốc Môn
C17,WorldMarket,0975327302,WorldMarket@gmail.com,Quận Bình Tân
C18,UPS,0925413971,UPS@gmail.com,Quận Tân Phú
C19,FedEx,0973296828,FedEx@gmail.com,Quận Bình Tân
